Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2011/2/1,,3.498313,,2.564696,,2.887528,6.646519,,2.011444,,,,8.590788,2.284738,3.979468,4.324776,2.282234,,2.728436,4.042919,,5.82328,,3.471313,2.219795,4.100193,
2011/2/9,,3.47805,,2.525137,,2.821288,6.449247,,1.974126,,,,8.523139,2.266717,3.954576,4.280714,2.231518,,2.749304,4.075702,,5.678977,,3.441337,2.150246,4.051883,
2011/2/10,,3.505065,,2.544916,,2.862994,6.608585,,2.001623,,,,8.597545,2.307274,4.022148,4.328159,2.203342,,2.702351,3.999216,,5.772078,,3.381382,2.109675,3.961306,
2011/2/11,,3.51857,,2.558103,,2.85073,6.641466,,1.999658,,,,8.597545,2.302764,4.032813,4.321386,2.197707,,2.6554,4.042919,,5.767424,,3.405364,2.092288,3.985459,
2011/2/14,,3.626628,,2.670185,,2.941499,6.874164,,2.062519,,,,8.96957,2.352335,4.16084,4.453569,2.248423,,2.733653,4.113942,,5.986204,,3.471313,2.156042,4.039807,
2011/2/15,,3.586107,,2.643812,,2.916965,6.853882,,2.046802,,,,8.922266,2.334309,4.10394,4.416281,2.231518,,2.728436,4.064776,,5.948965,,3.429346,2.173429,3.973383,
2011/2/16,,3.613123,,2.650405,,2.939044,6.823557,,2.058588,,,,8.874891,2.316282,4.10394,4.392559,2.265329,,2.73887,4.119411,,5.972239,,3.459322,2.190817,4.057922,
2011/2/17,,3.626628,,2.656999,,2.968487,6.86153,,2.099837,,,,8.874891,2.320792,4.178622,4.43323,2.282234,,2.80669,4.146725,,6.060678,,3.4893,2.242979,4.082077,
2011/2/18,,3.660396,,2.61744,,2.939044,6.79321,,2.095911,,,,8.868134,2.320792,4.150169,4.41967,2.327315,,2.926679,4.239605,,5.953619,,3.555248,2.260367,4.160578,
2011/2/21,,3.63338,,2.610847,,2.931689,6.772977,,2.090016,,,,8.847792,2.334309,4.146614,4.409507,2.316045,,3.031016,4.217748,,5.958274,,3.555248,2.248775,4.124347,
2011/2/22,,3.545587,,2.518544,,2.833558,6.48466,,2.019305,,,,8.604303,2.298261,4.004366,4.287487,2.265329,,2.947546,4.113942,,5.772078,,3.51328,2.196612,4.015653,
2011/2/23,,3.538834,,2.525137,,2.833558,6.48466,,2.015374,,,,8.577271,2.298261,4.043484,4.273934,2.254058,,2.911027,4.075702,,5.758113,,3.465318,2.179225,3.991498,
2011/2/24,,3.545587,,2.53173,,2.836006,6.507419,,2.02323,,,,8.577271,2.293751,4.03993,4.270545,2.225883,,2.978847,4.02653,,5.790698,,3.435341,2.167634,3.967344,
