"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2019/10/30",1259.595061,67446.02883,5602.437918,47332.25214,22360.813,27358.92801,71423.75557,1847.101819,13432.35438,10231.92178,20650.88694,1619.312975,74149.90684,66735.94659,30208.0761,70015.79312,227664.7899,11310.44036,10300.17161,99061.5122,1262.473008,13161.40913,102145.6041,301158.4043,248781.3995,254177.0046,39343.94417
"2019/10/31",1259.594013,67447.38467,5602.474013,47332.3,22361.04572,27359.1948,71424.52428,1847.131776,13432.40079,10232.12592,20650.8798,1619.308487,74150.42993,66737.86434,30208.07178,70016.80467,227665.5492,11310.59785,10300.22117,99061.38401,1262.495263,13161.77566,102146.103,301156.9149,248781.4339,254181.321,39345.03151
"2019/11/1",1259.592965,67448.74051,5602.510108,47332.34786,22361.27844,27359.46159,71425.29298,1847.161734,13432.4472,10232.33007,20650.87266,1619.303999,74150.95303,66739.7821,30208.06745,70017.81623,227666.3085,11310.75534,10300.27072,99061.25582,1262.517519,13162.14219,102146.602,301155.4255,248781.4683,254185.6374,39346.11886
"2019/11/4",1259.591917,67450.09635,5602.546203,47332.39571,22361.51117,27359.72838,71426.06169,1847.191692,13432.49361,10232.53421,20650.86553,1619.299511,74151.47613,66741.69985,30208.06312,70018.82778,227667.0678,11310.91283,10300.32027,99061.12763,1262.539774,13162.50872,102147.101,301153.9361,248781.5027,254189.9538,39347.2062
"2019/11/5",1259.590869,67451.45219,5602.582298,47332.44357,22361.74389,27359.99517,71426.8304,1847.221649,13432.54002,10232.73836,20650.85839,1619.295023,74151.99922,66743.6176,30208.05879,70019.83934,227667.8271,11311.07032,10300.36983,99060.99944,1262.56203,13162.87525,102147.6,301152.4467,248781.5372,254194.2702,39348.29355
"2019/11/6",1259.589821,67452.80804,5602.618393,47332.49143,22361.97661,27360.26196,71427.59911,1847.251607,13432.58643,10232.9425,20650.85125,1619.290536,74152.52232,66745.53536,30208.05446,70020.85089,227668.5864,11311.22781,10300.41938,99060.87125,1262.584286,13163.24179,102148.0989,301150.9573,248781.5716,254198.5866,39349.38089
"2019/11/7",1259.588773,67454.16388,5602.654488,47332.53929,22362.20933,27360.52875,71428.36781,1847.281565,13432.63284,10233.14664,20650.84411,1619.286048,74153.04542,66747.45311,30208.05014,70021.86245,227669.3457,11311.3853,10300.46893,99060.74306,1262.606541,13163.60832,102148.5979,301149.4679,248781.606,254202.903,39350.46824
"2019/11/8",1259.587726,67455.51972,5602.690583,47332.58714,22362.44205,27360.79555,71429.13652,1847.311523,13432.67925,10233.35079,20650.83697,1619.28156,74153.56852,66749.37086,30208.04581,70022.874,227670.105,11311.54279,10300.51848,99060.61487,1262.628797,13163.97485,102149.0969,301147.9785,248781.6405,254207.2194,39351.55558
"2019/11/11",1259.586678,67456.87556,5602.726678,47332.635,22362.67477,27361.06234,71429.90523,1847.34148,13432.72566,10233.55493,20650.82984,1619.277072,74154.09161,66751.28862,30208.04148,70023.88556,227670.8643,11311.70028,10300.56804,99060.48668,1262.651053,13164.34138,102149.5959,301146.4891,248781.6749,254211.5358,39352.64293
"2019/11/12",1259.58563,67458.2314,5602.762773,47332.68286,22362.90749,27361.32913,71430.67394,1847.371438,13432.77207,10233.75908,20650.8227,1619.272585,74154.61471,66753.20637,30208.03715,70024.89711,227671.6236,11311.85776,10300.61759,99060.35849,1262.673308,13164.70791,102150.0948,301144.9997,248781.7093,254215.8522,39353.73027
